City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Iquitos,PE,75.2,light rain,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
7,Puerto Colombia,CO,78.8,few clouds,10.9878,-74.9547,Hotel El Emigrante
9,Buala,SB,85.8,scattered clouds,-8.145,159.5921,Maringe Lagoon Lodge
10,Kupang,ID,75.2,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
17,Itarema,BR,76.53,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
22,Saint-Philippe,RE,77.0,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
24,Rikitea,PF,79.74,clear sky,-23.1203,-134.9692,Pension Maro'i
26,Doembang Nangbuat,TH,84.99,overcast clouds,14.8333,100.1,ธาราริน วิลล่า
27,Mogadishu,SO,80.33,broken clouds,2.0371,45.3438,Olympic Hotel
30,Kapaa,US,77.0,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
35,Bairiki,KI,86.0,light rain,1.3292,172.9752,Tarawa Boutique Hotel
40,Pringsewu,ID,79.3,overcast clouds,-5.3582,104.9744,Urban Style by Front One
43,Panama City,PA,86.0,scattered clouds,8.9936,-79.5197,Hotel Riande Granada Urban
49,Mitsamiouli,KM,82.69,scattered clouds,-11.3847,43.2844,Foyer ADM
54,Butaritari,KI,81.39,light rain,3.0707,172.7902,Isles Sunset Lodge
59,Alyangula,AU,86.63,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
60,Georgetown,MY,80.01,light rain,5.4112,100.3354,Cititel Penang
65,Arraial Do Cabo,BR,77.49,few clouds,-22.9661,-42.0278,Pousada Porto Praia
71,Kismayo,SO,79.83,overcast clouds,-0.3582,42.5454,Agan-Hotel
72,Chiang Khong,TH,75.99,clear sky,20.2613,100.4046,Chiangkhong Green Inn Resident
74,Bubaque,GW,75.76,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
75,Thanh Hoa,VN,78.58,scattered clouds,19.8,105.7667,KHÁCH SẠN NGỌC LY 8
87,Lodwar,KE,82.53,scattered clouds,3.1191,35.5973,Turkwel Lodge
90,Tondano,ID,82.4,scattered clouds,1.3038,124.9112,Villa Bella
92,Saint-Georges,GD,77.68,overcast clouds,12.0564,-61.7485,Siesta Hotel
98,Hithadhoo,MV,80.53,heavy intensity rain,-0.6,73.0833,Scoop Guest House
99,Jilib,SO,76.3,overcast clouds,0.4883,42.7854,
101,Sur,OM,82.51,clear sky,22.5667,59.5289,Sur Plaza Hotel
102,Port Moresby,PG,87.8,haze,-9.4431,147.1797,Lamana Hotel
103,Faanui,PF,82.81,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
115,Saint Marys,US,79.0,clear sky,30.7305,-81.5465,Spencer House Inn
117,Yulara,AU,78.8,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
118,Mana,GF,77.77,light rain,5.6592,-53.7767,LE SAMANA
121,Copala,MX,78.69,clear sky,16.65,-98.9833,Biol. Fernando Martinez Salgado
125,Avarua,CK,82.4,overcast clouds,-21.2078,-159.775,Paradise Inn
127,Atuona,PF,80.98,broken clouds,-9.8,-139.0333,Villa Enata
128,Galt,US,80.01,clear sky,38.2546,-121.3,Best Western Galt Inn
134,Karachi,PK,77.0,smoke,24.9056,67.0822,Sadaat
140,Sabang,ID,81.52,overcast clouds,5.8933,95.3214,Hotel Citra
142,Cabo San Lucas,MX,77.0,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
143,Pandan,PH,83.03,overcast clouds,14.0453,124.1694,Bonifacio Lodge
144,Victoria,HK,78.01,few clouds,22.2855,114.1577,Mini Hotel Central
147,Bambous Virieux,MU,75.99,few clouds,-20.3428,57.7575,Casa Tia Villa
150,Portmore,JM,82.4,few clouds,17.9702,-76.8672,Salmon Way Inn
154,Belmonte,BR,78.8,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
155,Salalah,OM,75.2,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
156,Vaini,TO,84.2,scattered clouds,-21.2,-175.2,Keleti Beach Resort
157,Bengkulu,ID,77.5,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
159,Cabatuan,PH,83.98,overcast clouds,10.8794,122.486,ROREM'S BOARDING HOUSE
163,Tagusao,PH,82.98,overcast clouds,9.1924,117.8141,Toledo
164,Pasni,PK,77.38,few clouds,25.2631,63.471000000000004,Kashmiri Hotal
169,Dingle,PH,83.5,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
175,Puerto Ayora,EC,78.01,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
182,Sambava,MG,75.67,light rain,-14.2667,50.1667,Melrose
183,Adrar,MR,77.99,broken clouds,20.5022,-10.0711,
187,Ukiah,US,75.2,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
189,Kendari,ID,76.46,overcast clouds,-3.945,122.4989,Hotel Wixel
193,Tura,IN,75.16,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
194,Makasar,ID,77.0,light rain,-5.14,119.4221,Hotel Horison Ultima Makassar
195,Grand Gaube,MU,75.99,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
196,Puerto Gaitan,CO,77.13,overcast clouds,4.3133,-72.0816,Brisas del Yucao
201,Kavieng,PG,86.09,broken clouds,-2.5744,150.7967,Nusa Island Retreat
202,Esperance,AU,77.0,clear sky,-33.8667,121.9,Hospitality Esperance
203,Poum,NC,80.74,few clouds,-20.2333,164.0167,Gîte kajeon
208,Cayenne,GF,80.6,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
212,Eydhafushi,MV,82.72,overcast clouds,5.1033,73.0708,Soneva Fushi
213,Gizo,SB,85.06,overcast clouds,-8.103,156.8419,Imagination Island
218,Sibu,MY,77.0,few clouds,2.3,111.8167,RH HOTEL (4 Star)
222,Port Blair,IN,82.31,overcast clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
227,Portobelo,PA,81.0,scattered clouds,9.55,-79.65,Scuba Portobelo
231,Araguaina,BR,75.38,overcast clouds,-7.1911,-48.2072,Hotel São Vicente
233,Charters Towers,AU,82.96,overcast clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
238,Itaituba,BR,82.4,clear sky,-4.2761,-55.9836,Hotel Campos
240,Thinadhoo,MV,78.96,light rain,0.5333,72.9333,
241,Luganville,VU,83.55,few clouds,-15.5333,167.1667,The Espiritu Hotel
246,Passo De Camaragibe,BR,75.2,broken clouds,-9.2368,-35.4901,Chácara vovó candinha
257,Chake Chake,TZ,79.52,broken clouds,-5.2459,39.7666,Hotel Archipelago
260,Acapulco,MX,82.4,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
262,Lorengau,PG,84.85,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
263,Kyaukse,MM,75.2,haze,21.6,96.1333,Shwe Thit Sar Guesthouse
269,Madang,PG,82.53,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
280,Chabahar,IR,79.25,overcast clouds,25.2919,60.643,هتل گدروشیا
283,Santa Rosalia,MX,75.81,scattered clouds,27.3167,-112.2833,Hotel Las Casitas Santa Rosalia
291,Geraldton,AU,75.2,clear sky,-28.7667,114.6,Broadwater Mariner Resort
301,Tecoanapa,MX,79.25,clear sky,16.5167,-98.75,Hotel Manglares
304,Mae Hong Son,TH,75.2,mist,19.3003,97.9685,Baiyoke Chalet Hotel
305,Pasighat,IN,75.07,clear sky,28.0667,95.3333,Siang Guest House
307,Sosua,DO,75.2,few clouds,19.7667,-70.5167,Piergiorgio Palace Hotel
308,Teahupoo,PF,86.0,light rain,-17.8333,-149.2667,Vanira Lodge
311,Kahului,US,77.0,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
312,Jiwani,PK,78.48,overcast clouds,25.05,61.7417,Al Mumtaz Transport Jiwani
315,Road Town,VG,78.01,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
318,Axim,GH,78.62,few clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
321,Bandarbeyla,SO,75.83,broken clouds,9.4942,50.8122,JABIR HOTEL
322,Hongjiang,CN,76.24,overcast clouds,27.11,109.9956,洪江大酒店
323,Isabela,PH,86.0,broken clouds,6.7085,121.9711,Isawad Resort
324,Carnarvon,AU,78.8,clear sky,-24.8667,113.6333,Hospitality Carnarvon
331,Sarangani,PH,81.63,overcast clouds,5.4033,125.4636,Ballistic Islet
332,Meulaboh,ID,77.52,overcast clouds,4.1363,96.1285,Kost Pria
335,Bathsheba,BB,78.8,scattered clouds,13.2167,-59.5167,Atlantis Hotel
337,Daman,IN,78.84,overcast clouds,20.4167,72.85,Silver Sands Beach Resort
338,La Palma,US,86.0,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
339,Saint-Pierre,RE,77.0,clear sky,-21.3393,55.4781,Lindsey Hôtel
347,Lagos,NG,78.66,clear sky,6.5833,3.75,
348,Marawi,PH,81.0,overcast clouds,7.9986,124.2928,Derogongan Residence
349,Daru,PG,80.56,overcast clouds,-9.0763,143.2092,Daru Lodge
355,Port-Gentil,GA,78.98,moderate rain,-0.7193,8.7815,Fengshui Residence
356,Sawtell,AU,77.0,broken clouds,-30.3833,153.1,Island Beach House Sawtell
357,Quang Ngai,VN,79.39,overcast clouds,15.1167,108.8,Central Hotel
359,Dawei,MM,82.24,overcast clouds,14.0833,98.2,Hotel Dawei
362,Manokwari,ID,81.27,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
366,Pontian Kecil,MY,80.01,few clouds,1.4801,103.3899,SUNFLOWER EXPRESS HOTEL
370,Barabai,ID,82.53,broken clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
374,Cap Malheureux,MU,75.99,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
385,Abomey,BJ,78.01,clear sky,7.1829,1.9912,Residence Hotel Marie Emmanuella
394,Lethem,GY,79.38,overcast clouds,3.3803,-59.7968,Savannah Inn
401,Bonthe,SL,78.87,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
404,Ejura,GH,79.25,clear sky,7.3856,-1.3562,Fire Servece
406,Blackwater,AU,83.3,overcast clouds,-23.5833,148.8833,Blackwater Motor Inn
407,Anito,PH,81.03,overcast clouds,12.4497,125.2886,The Yellow House
410,Lao Cai,VN,80.04,scattered clouds,22.4833,103.95,Legend Hotel
418,San Nicolas,PH,80.6,few clouds,18.1725,120.5953,NORTHVIEW Hotel
419,San Jose,US,77.0,few clouds,37.3394,-121.895,The Westin San Jose
421,Denpasar,ID,78.8,light rain,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
422,Port Macquarie,AU,75.99,few clouds,-31.4333,152.9167,Rydges Port Macquarie
427,Kieta,PG,85.06,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
432,Orocue,CO,79.11,overcast clouds,4.7912,-71.3354,Hotel Brisas de San Miguel
435,Saint George,US,75.0,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
436,Kloulklubed,PW,77.0,heavy intensity rain,7.0419,134.2556,Storyboard Beach Resort
437,Allapalli,IN,76.24,clear sky,19.4167,80.0667,Hotel IK Residency
440,Wanlaweyn,SO,78.12,overcast clouds,2.6185,44.8938,Haji Qasim Hotel
446,Banda Aceh,ID,80.55,overcast clouds,5.5577,95.3222,Sulthan Hotel International
448,Veraval,IN,76.86,scattered clouds,20.9,70.3667,Lords Inn Somnath
450,Nha Trang,VN,77.0,clear sky,12.25,109.1833,Sheraton Nha Trang Hotel & Spa
452,Ailigandi,PA,79.23,scattered clouds,9.2333,-78.0167,Akwa Reef Lodge
453,Vila Velha,BR,75.2,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
457,Nizwa,OM,78.22,few clouds,22.9333,57.5333,Orient Apartments
462,Mackay,AU,84.2,broken clouds,-21.15,149.2,International Lodge Motel
465,San Cristobal,VE,75.2,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
468,Nanning,CN,75.2,broken clouds,22.8167,108.3167,Nanning Travelling With Hostel
469,Atar,MR,75.45,few clouds,20.5169,-13.0499,Oumou Elghoura
470,Miri,MY,78.8,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
472,Vao,NC,77.7,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
477,Bonfim,BR,81.25,light rain,3.0833,-59.95,
487,Biak,ID,79.18,overcast clouds,-0.9131,122.8766,Penginapan Kim
488,Dicabisagan,PH,83.34,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
491,Cockburn Town,TC,77.43,clear sky,21.4612,-71.1419,Osprey Beach Hotel
495,Port Keats,AU,81.91,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
496,Isangel,VU,84.2,scattered clouds,-19.55,169.2667,Volcano Sea View Tree House
498,Kirakira,SB,86.67,moderate rain,-10.4544,161.9205,SanBiz Lodge
502,Yavaros,MX,78.01,clear sky,26.7,-109.5167,
503,Pochutla,MX,84.2,clear sky,15.7432,-96.4661,Hotel Posada San Jose
504,Honiara,SB,88.7,clear sky,-9.4333,159.95,Heritage Park Hotel
518,Yanam,IN,77.0,mist,16.7333,82.2167,The Regency Hotel
520,Namatanai,PG,85.08,broken clouds,-3.6667,152.4333,Namatanai Hotel
521,Pangai,TO,86.0,few clouds,-19.8,-174.35,Ha'apai Beach Resort
526,Porbandar,IN,75.83,few clouds,21.6422,69.6093,Lords Inn Porbandar
