City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Talnakh,RU,2021-03-28 15:14:59,69.4865,88.3972,-9.31,96,46,2.42
1,Tilichiki,RU,2021-03-28 15:14:59,60.4667,166.1,-3.68,89,98,8.68
2,Bambous Virieux,MU,2021-03-28 15:14:59,-20.3428,57.7575,82.0,83,40,0.87
3,Mikumi,TZ,2021-03-28 15:14:20,-7.4041,36.9831,77.45,87,52,2.95
4,Tasiilaq,GL,2021-03-28 15:15:00,65.6145,-37.6368,19.4,53,20,6.91
5,Inverness,GB,2021-03-28 15:15:00,57.4791,-4.224,50.0,71,40,17.27
6,Ushuaia,AR,2021-03-28 15:13:41,-54.8,-68.3,46.4,57,40,26.46
7,Peterhead,GB,2021-03-28 15:15:00,57.5058,-1.7981,52.0,66,90,19.57
8,Arraial Do Cabo,BR,2021-03-28 15:15:01,-22.9661,-42.0278,87.8,74,20,9.22
9,East London,ZA,2021-03-28 15:15:01,-33.0153,27.9116,66.2,68,20,10.36
10,Ponta Do Sol,PT,2021-03-28 15:15:01,32.6667,-17.1,68.0,73,20,13.8
11,Saint-Philippe,RE,2021-03-28 15:15:02,-21.3585,55.7679,82.4,78,0,8.05
12,Hilo,US,2021-03-28 15:12:57,19.7297,-155.09,66.2,77,90,6.91
13,Rikitea,PF,2021-03-28 15:15:02,-23.1203,-134.9692,78.08,76,12,16.67
14,Bredasdorp,ZA,2021-03-28 15:15:02,-34.5322,20.0403,68.0,64,100,20.71
15,Burley,US,2021-03-28 15:15:03,42.5357,-113.7928,48.2,43,1,16.11
16,Bethel,US,2021-03-28 15:15:03,41.3712,-73.414,50.0,95,100,1.99
17,Forbes,AU,2021-03-28 15:15:03,-33.3833,148.0167,57.0,77,1,5.99
18,Punta Arenas,CL,2021-03-28 15:15:03,-53.15,-70.9167,50.0,50,0,28.77
19,Bluff,NZ,2021-03-28 15:15:04,-46.6,168.3333,54.0,97,100,4.29
20,Severo-Kurilsk,RU,2021-03-28 15:15:04,50.6789,156.125,24.94,76,57,13.87
21,Sosnovka,RU,2021-03-28 15:15:04,56.255,51.2842,25.7,92,6,2.62
22,Taft,IR,2021-03-28 15:15:04,31.7471,54.2088,68.0,10,0,13.8
23,Port Elizabeth,ZA,2021-03-28 15:10:54,-33.918,25.5701,66.2,72,20,14.97
24,Northam,GB,2021-03-28 15:15:05,51.0333,-4.2167,55.0,85,100,11.99
25,Hirara,JP,2021-03-28 15:15:05,24.8,125.2833,74.05,88,3,2.1
26,Mar Del Plata,AR,2021-03-28 15:15:05,-38.0023,-57.5575,68.0,77,90,13.8
27,Upata,VE,2021-03-28 15:15:05,8.0086,-62.3989,85.08,49,98,9.1
28,Busselton,AU,2021-03-28 15:15:06,-33.65,115.3333,60.01,88,0,8.23
29,Norman Wells,CA,2021-03-28 15:15:06,65.282,-126.8329,-4.0,71,75,18.41
30,Panalingaan,PH,2021-03-28 15:15:06,8.7842,117.4231,79.16,81,33,4.72
31,Jalu,LY,2021-03-28 15:15:06,29.0331,21.5482,70.47,21,1,9.62
32,Dunedin,NZ,2021-03-28 15:11:52,-45.8742,170.5036,55.0,95,88,1.01
33,Ormara,PK,2021-03-28 15:15:07,25.2088,64.6357,79.39,77,6,15.05
34,Shimoda,JP,2021-03-28 15:15:07,34.6667,138.95,55.99,93,100,5.01
35,Abaza,RU,2021-03-28 15:15:07,52.655,90.0928,34.83,98,100,2.46
36,Kodiak,US,2021-03-28 15:15:07,57.79,-152.4072,35.6,30,1,13.8
37,Nanortalik,GL,2021-03-28 15:15:08,60.1432,-45.2371,27.48,64,14,2.8
38,Sitka,US,2021-03-28 15:15:08,57.0531,-135.33,35.6,75,40,11.5
39,Jamestown,US,2021-03-28 15:15:08,42.097,-79.2353,53.6,100,90,16.11
40,Basudebpur,IN,2021-03-28 15:15:08,21.1353,86.7386,81.0,59,3,9.89
41,Albany,US,2021-03-28 15:13:22,42.6001,-73.9662,51.01,76,100,1.99
42,Taltal,CL,2021-03-28 15:15:09,-25.4,-70.4833,67.89,68,0,4.83
43,Qaanaaq,GL,2021-03-28 15:15:09,77.484,-69.3632,-15.07,76,33,4.12
44,Kharan,PK,2021-03-28 15:15:09,28.5833,65.4167,89.94,8,8,6.02
45,Dhidhdhoo,MV,2021-03-28 15:15:10,6.8833,73.1,84.78,69,39,9.75
46,Nikolskoye,RU,2021-03-28 15:15:10,59.7035,30.7861,51.8,50,20,2.24
47,Yar-Sale,RU,2021-03-28 15:15:10,66.8333,70.8333,-7.22,97,11,9.57
48,Port Alfred,ZA,2021-03-28 15:15:10,-33.5906,26.891,66.63,66,99,17.72
49,Sobolevo,RU,2021-03-28 15:15:11,54.4299,31.8996,38.84,94,85,10.13
50,Zaraza,VE,2021-03-28 15:15:11,9.3503,-65.3245,91.31,36,29,8.93
51,Constitucion,CL,2021-03-28 15:15:11,-35.3333,-72.4167,68.34,41,0,4.0
52,Huarmey,PE,2021-03-28 15:15:11,-10.0681,-78.1522,74.1,73,79,7.29
53,Atuona,PF,2021-03-28 15:15:12,-9.8,-139.0333,80.98,70,100,17.58
54,Thompson,CA,2021-03-28 15:15:11,55.7435,-97.8558,8.6,72,75,2.3
55,Georgetown,MY,2021-03-28 15:11:26,5.4112,100.3354,80.6,94,40,8.05
56,Bubaque,GW,2021-03-28 15:15:12,11.2833,-15.8333,77.25,59,16,6.91
57,Carnarvon,AU,2021-03-28 15:11:06,-24.8667,113.6333,78.8,83,0,4.61
58,Oussouye,SN,2021-03-28 15:15:12,12.485,-16.5469,98.6,61,0,11.5
59,Rio Bonito,BR,2021-03-28 15:15:13,-22.7086,-42.6097,87.8,62,20,10.36
60,Tigil,RU,2021-03-28 15:15:13,57.8,158.6667,0.03,96,100,7.14
61,Mataura,NZ,2021-03-28 15:15:13,-46.1927,168.8643,54.0,97,100,2.89
62,Katherine,AU,2021-03-28 15:15:13,-14.4667,132.2667,75.2,83,100,5.75
63,Severodvinsk,RU,2021-03-28 15:15:14,64.5635,39.8302,46.4,53,40,6.71
